@relation Audio-weka.filters.unsupervised.instance.NonSparseToSparse
@attribute 'Volume' real
@attribute 'Number of Extreme Frequencies' real
@attribute 'Spectrul Flux' real
@attribute 'Type' {commercial, noncommercial}

@data
9887638.77602293,2690.0,82547.96254379812,commercial
23602.54141292915,1658.0,5599.704006366146,commercial
2.098900249960762E7,2069.0,176096.06550623704,commercial
1.4964475951072939E7,2869.0,87016.29873438488,commercial
1.2533309001985775E7,1965.0,105118.83419772149,commercial
2.8205170407008275E7,2311.0,188042.29659848005,commercial
6247015.180630498,1965.0,65892.35662005692,commercial
5.5636128396420725E7,2258.0,196981.53066330438,commercial
4.373548737634311E7,2422.0,221930.00910705628,commercial
1.4361196980272165E7,1932.0,111468.42003079396,commercial
1.1255435801603146E7,1488.0,90973.18507377691,commercial
0.0344247329697963,676.0,5.70651402197338,commercial
1.79513042517318E7,1465.0,104489.68676485213,commercial
2.2862126973757345E7,2888.0,142258.7872494252,commercial
3.262547842335818E7,2222.0,146327.60136083065,commercial
16441.089535393014,1643.0,4272.769406254145,commercial
1.5077134242974833E7,2136.0,117813.59184526623,commercial
1.250076075852241E7,1657.0,101638.0912709298,commercial
9887627.61304708,2690.0,82547.8918857076,commercial
23602.5095839911,1658.0,5599.836571544836,commercial
3836025.9627845217,2672.0,51854.755142908674,commercial
3579534.701482097,1639.0,61617.99233637449,commercial
1.7016770070665404E7,2267.0,141510.97456826622,commercial
6749219.2791417055,2161.0,88314.05062545999,commercial
1.5986295311479485E7,2180.0,136752.1916668763,commercial
3.091131736306234E7,2722.0,157792.06046238734,commercial
6.128614849860326E7,2453.0,260460.13347274502,commercial
2.811886421740539E7,2598.0,151504.57021535808,commercial
6475061.9116719365,2694.0,68195.28956125342,commercial
2.544691891315315E7,2387.0,155492.50948013226,commercial
3.576901353053601E7,2579.0,151218.62103274468,commercial
5.256432394707455E7,1978.0,196946.92210829715,commercial
1.2895355582460102E7,1472.0,97112.01119728504,commercial
4.830902507385705E7,1990.0,218380.61460406287,commercial
1.1123797119629906E7,2632.0,86601.27410511604,commercial
1429536.507627395,1922.0,37658.88466753961,commercial
1.769185294707969E7,1231.0,138602.62704738457,commercial
1.7404352763431534E7,2541.0,121365.64719396691,commercial
1.9343213921265967E7,2209.0,105245.91925106532,commercial
8436181.540655935,2575.0,78939.56481311622,commercial
2.408184788426873E7,1828.0,128266.47225136067,commercial
2.400141781483621E7,1911.0,133058.97858792954,commercial
4.8342690290697925E7,2353.0,248371.48397555578,commercial
7581463.188552875,2283.0,97503.05211948168,commercial
2932.347319386322,2508.0,1356.2717619625969,commercial
1.4850927251264377E7,1741.0,112080.41803537177,commercial
7961314.620497573,2576.0,71789.93697595532,commercial
4.928502769700907E7,2452.0,196315.05933403186,commercial
9438837.75887537,1900.0,94904.4831275022,commercial
101397.93010661939,2789.0,6715.778291800052,commercial
3.367425922477553E7,2531.0,162103.75133338678,noncommercial
3.7110152190833695E7,2237.0,193867.81106344296,noncommercial
7.939825791477883E7,2575.0,198166.66406099568,noncommercial
1.0313270030467743E7,2589.0,97304.32796174476,noncommercial
7.38154359412752E7,2622.0,197662.7390573053,noncommercial
5.982986555729947E7,1880.0,202404.48039642937,noncommercial
4.1983096238263214E8,2790.0,528607.6616363336,noncommercial
2.3212348779608607E8,1278.0,240505.07234294584,noncommercial
2.6686665326931593E8,2014.0,338055.6378133003,noncommercial
8.189069164329308E7,2154.0,210849.77267816494,noncommercial
5505143.309905931,2611.0,70475.56966295723,noncommercial
4.297776656436091E7,2664.0,182524.6783708853,noncommercial
1.3332845347580437E7,2162.0,110626.29871318326,noncommercial
1.3823691695159303E7,2249.0,94560.0687918351,noncommercial
1447878.39467021,2591.0,37021.5084841951,noncommercial
1.4355513401354443E7,2753.0,108560.74146376061,noncommercial
3.3241606436304417E7,2572.0,173704.81583862822,noncommercial
3.8882472145445995E7,2742.0,160180.84349505138,noncommercial
1.1504131862251198E7,2490.0,126615.18741403273,noncommercial
1518035.819625945,2112.0,31097.28972553543,noncommercial
1.728577178125887E8,2356.0,280276.3571389022,noncommercial
3.140828391080156E7,2167.0,92016.54342013957,noncommercial
6.09161603061928E8,2623.0,454159.06846475357,noncommercial
2.1235941636964285E8,2292.0,275756.8858758524,noncommercial
1.5144543908200493E8,1382.0,268382.14298996155,noncommercial
2.717650522333764E8,1972.0,317375.6205127704,noncommercial
5.2075181463923335E7,1967.0,159705.9141550965,noncommercial
6.941428601063053E7,1836.0,170680.58914812616,noncommercial
1.21363526950862E8,2323.0,268359.5021094623,noncommercial
4.715549119483961E7,2336.0,135439.34113358034,noncommercial
7330686.426898814,2441.0,75264.40234931209,noncommercial
7375074.54679324,1991.0,79162.47331807413,noncommercial
7914851.903184034,2020.0,76314.4270179671,noncommercial
3.862115103114305E7,1099.0,134188.2561806617,noncommercial
1.895889183823979E8,1457.0,225223.22159603186,noncommercial
4.249758021486621E7,2132.0,172614.94508991152,noncommercial
3.0219773474568106E7,1853.0,156107.62507350682,noncommercial
7.526123486658286E7,1596.0,243005.21098139003,noncommercial
8.096301779103608E7,1626.0,222248.04535152897,noncommercial
1.772520295904635E7,1363.0,147084.79014384287,noncommercial
4178709.108696219,1143.0,63851.15483742278,noncommercial
1.4802051403386097E7,1823.0,115554.21321031176,noncommercial
7757903.799068904,1928.0,76697.81105995762,noncommercial
2.0623901709805435E8,2566.0,396263.8277232493,noncommercial
2.075615051965015E8,2637.0,399810.9319726659,noncommercial
9.04461809302767E7,2108.0,235100.5153726448,noncommercial
2.5386133344100397E7,2028.0,150661.60210228516,noncommercial
2.2892194568488397E7,2018.0,158027.72380599898,noncommercial
6.700026266666746E7,2281.0,189059.8318402533,noncommercial
9.598423647968432E7,2055.0,251370.73078038677,noncommercial
