@relation Audio-weka.filters.unsupervised.instance.NonSparseToSparse
@attribute 'Volume' real
@attribute 'Number of Extreme Frequencies' real
@attribute 'Spectrul Flux' real
@attribute 'Type' {commercial, noncommercial}

@data
115753.79777356063,555.0,12992.868438866006,commercial
1.0786637706469623E7,1324.0,132239.62435424785,commercial
2.2612327920063E7,1594.0,137606.8744894148,commercial
664668.3734165567,1208.0,24055.67952477339,commercial
5497182.504903817,1383.0,59685.67648483296,commercial
2350.9561774340855,1981.0,1257.9571805449457,commercial
96216.43903463232,1544.0,11336.063090001524,commercial
1068333.7910032535,2117.0,37272.345117403645,commercial
5230933.095073398,1569.0,110297.16109677975,commercial
78714.55310098408,1180.0,13005.82681429085,commercial
848873.1228431637,900.0,36549.24760255574,commercial
1223171.6449953078,992.0,33892.13426333234,commercial
51899.514371896956,3018.0,5644.25728298649,commercial
1.0297706363039307E7,1162.0,117423.46744183749,commercial
1.882182104152634E7,1933.0,101750.64784672583,commercial
3.301681921800257E7,1481.0,169737.5399027935,commercial
3.874843194459832E7,2054.0,157360.9223465607,commercial
2.1695567045076583E7,2056.0,137215.23778027092,commercial
2.305930001683839E7,1655.0,122853.72683256709,commercial
6.235392569803766E7,2276.0,201632.91056534732,commercial
1.4461450128723677E7,1621.0,106418.87316466446,commercial
2.9797008357489392E7,1214.0,141112.1435999784,commercial
8735289.107771514,1291.0,77279.29975728737,commercial
1.6797070925197043E7,1550.0,128908.30148118961,commercial
1.1937889150631474E7,1084.0,115732.83593487224,commercial
715903.1531856271,961.0,31466.0350224546,commercial
1858474.4784514576,1129.0,54179.80113738062,commercial
6974704.220187934,1442.0,60946.08116083465,commercial
1.0385771124229671E8,3217.0,296045.33139065956,commercial
5.132745277452715E7,2690.0,212629.32891303796,commercial
1.0732732378290014E7,2605.0,111081.37325571258,commercial
3.1306253367442496E7,1489.0,133531.63350484674,commercial
1.906097272669481E7,1968.0,103151.92348108989,commercial
317954.945166262,2518.0,14787.56976663013,commercial
1.1963202950768796E8,2607.0,291980.4830867901,commercial
8.707958752383891E7,2452.0,249115.85423057142,commercial
2.157300030486034E8,1744.0,327484.1301513317,commercial
7875138.671860362,2399.0,67434.98380206396,commercial
1.5544517998205814E8,1725.0,291128.1889607579,commercial
4.081663853884966E7,2157.0,180946.24059347,commercial
2.2132572320579585E7,2018.0,121794.43054275708,commercial
2.964737581283213E8,2248.0,354777.6323293005,commercial
2.4551649747014585E8,2922.0,271905.0183927219,commercial
5089208.386018713,3122.0,61290.94882744848,commercial
3740105.7186342687,1272.0,87525.23187992055,commercial
1033268.0469065312,1133.0,36891.71259229977,commercial
9.574637738078178E7,2137.0,257454.21768607124,commercial
1.5631466804649537E7,2363.0,102641.5945674114,commercial
2.4318178443767622E7,1534.0,148456.0163308664,commercial
431867.605802362,1080.0,23844.940330348712,commercial
1.0593778732819939E8,1882.0,246049.36591284556,commercial
3599725.847555903,1536.0,59634.60977391694,commercial
2.0294165413498405E7,1920.0,120053.75060461543,commercial
1.91956131100765E8,2235.0,370697.83578804997,commercial
2.134290895409096E7,3158.0,129746.56077828904,commercial
1.5917306014967117E7,1509.0,147551.39538426933,commercial
87966.21270118598,1912.0,10138.01524974519,commercial
2.8095652373265557E7,2935.0,147245.88275937614,commercial
7.282875283915327E7,1584.0,185763.93167833088,commercial
1.8030161718726706E7,3102.0,110569.98575268676,commercial
3.3121038905639943E7,1758.0,197297.37694499985,commercial
1.833248095646821E7,2182.0,141501.2285750289,commercial
1.716065491295248E7,1636.0,159509.2784974152,commercial
1.0956146687023692E7,1547.0,78073.9727782623,commercial
7336019.103281081,2013.0,91308.50243436515,commercial
1.6138972410316069E7,1849.0,129423.4425722907,commercial
2.2501689456274636E7,1967.0,136654.09046889853,commercial
548397.0339777842,1324.0,18998.508396839923,commercial
5950335.179493818,1741.0,84028.31558682282,commercial
2.263623467858041E7,1888.0,144862.7741873789,commercial
2.610960029429847E7,2205.0,142760.11073131117,commercial
363172.5673915666,1908.0,16218.16235496997,commercial
3.789934702757667E7,1948.0,221706.1707752946,commercial
9636072.621348977,1500.0,127818.78980214415,commercial
376119.4339722471,1836.0,17520.410306844788,commercial
658600.1989162564,2302.0,21811.599491171924,commercial
1.6746777074226163E7,1905.0,125549.71272044852,commercial
1.8131570800748177E7,1362.0,150605.60066092346,commercial
9089774.054031415,2291.0,97028.94003777675,commercial
6957527.813638293,1863.0,93435.97999922963,commercial
831206.3785993672,1911.0,24657.378246695378,commercial
2.301285056363973E7,1966.0,133826.52083853877,commercial
2.7628712834684934E7,2205.0,156173.72626560825,commercial
3.173251549742469E7,1681.0,172326.16758338353,commercial
2.6495895379009344E7,2197.0,148338.95846320628,commercial
5745920.124300222,1808.0,72873.44901193252,commercial
4791273.467865388,1731.0,67355.66902397391,commercial
2.2587722908600643E7,1507.0,172807.5754818612,commercial
1.7980288140187908E7,1965.0,110115.38308329985,commercial
2.292508240510409E7,2007.0,145708.7138304598,commercial
6689434.501896754,1850.0,80236.43664793363,commercial
2.193162432002442E7,1928.0,196734.25090573798,commercial
4736837.664233129,2356.0,72984.96055200894,commercial
4575750.345922813,1501.0,69187.05880621397,commercial
1230127.7750572495,1614.0,34770.728417075414,commercial
1.1092173956823127E7,2117.0,85930.89956513235,commercial
1596838.5791587336,2052.0,30116.83597270835,commercial
1.3117140412760237E8,2327.0,236415.4821411548,commercial
4.5627040270042986E7,2446.0,152467.98192681608,commercial
6.0218878754214086E7,2441.0,268352.97244478174,commercial
3.035918004667431E7,1970.0,196334.11067086962,commercial
2.8242120803837977E7,1943.0,169523.4337308986,commercial
4.025910547980895E7,2231.0,218927.39746350827,commercial
1.0565867505779694E8,2117.0,230023.58286838792,commercial
2.0487594716838673E7,2391.0,101977.34566077315,commercial
1.8653739702894993E7,1951.0,181649.90053855316,commercial
5.959368340361396E7,2297.0,201781.76432795892,commercial
2.4815008289526295E7,2322.0,137721.2228770288,commercial
3.2723395288367417E7,1847.0,177177.75947599407,commercial
3.199571208458888E7,1608.0,169525.13308772878,commercial
5.2584406800706744E7,1921.0,194620.8358174432,commercial
2.5458838890273597E7,1533.0,154104.0095896535,commercial
2.9982444427203145E7,2552.0,148402.26916294263,commercial
5.0420243927409686E7,2232.0,180842.73744329828,commercial
1.1712614346187035E7,2140.0,102512.32362138513,commercial
1.015360446962482E7,1730.0,95516.02119168019,commercial
1.4457941773790954E7,1149.0,118877.6948392055,commercial
4592671.065272451,1630.0,82167.94665109467,commercial
1.0557824083804749E7,1430.0,102032.68093325438,commercial
3.128818887702856E7,2546.0,158290.64436049867,commercial
3.892381243127767E7,2748.0,166016.1943762016,commercial
5.240053078254501E7,2532.0,193230.7238697076,commercial
9783429.340365468,1281.0,76683.09713466083,commercial
5614764.640692308,1179.0,82060.51180385672,commercial
3076670.672961169,1491.0,71685.2741787012,commercial
